text,label
i feel drained without clozapine,sadness
i feel like a cranky old man saying this but so it goes,anger
i feel im being violent is i say no im not going to accept that and here are the consequences,anger
i thought i exhausted all emotions i held all the frustration and confusion and still here i am having so much more to give so much more to feel i look at this blank white piece of paper and i want to fill it with colours with motion but it still seems so blank,sadness
i woke up even more tired than the night before and feeling groggy,sadness
i am feeling very satisfied with where i am heading with my training and cannot wait to see where this journey continues to ta,joy
i remember hating walking from the car to the my classroom feeling judged and ugly and jeered at with every step,sadness
i feel mad sad and discouraged there is something so marvelous about the lord jesus something about the holy word of god that ignites my soul with hope to once again keep moving forward,anger
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness
i feel a little more relaxed,joy
i feel like i missed that ship when it sailed,sadness
im like not even that relieved that its done because i know i could have done better so i feel kind of regretful about that,sadness
i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description,sadness
id be less than honest on this blog if i didnt report that im feeling very petty right now,anger
i have a feeling david is going to turn out to be a terrific father hes already exposing his newborn son to the world of the geek,joy
i just want to share and i feel like its not socially acceptable to do so right now,joy
i feel at ease in those moments but the last few nights have been troubled,sadness
i feel enormously honoured to be included in this list,joy
i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far,sadness
i do not know how to feel my hearts aching sadness over the loss of those good and kind people and all the other connected losses a href http,sadness
i feel humiliated to introduce you to my colleagues as my wife,sadness
im feeling a bit cranky today,anger
i feel greedy with my thoughts and it is a relief to let them linger,anger
i feel hated by my parents,anger
i feel some people shouldn t answer if they are not considerate and serious,joy
i do how empty disappointed angry sad chaotic destructive i feel today im just mad at myself why do i always fuck up shit,anger
im feeling stressed and tired and after that flight i really dont want to get on another one,sadness
i feel it is unfortunate that my companion differs,sadness
i am feeling a little bit hostile towards my ex today,anger
i was trapped in the mall and was starting to feel like a mallrat and i hated it,anger
i feel like there is a violent war going on in my stomach,anger
i feel guilty sitting down during this concert because he s working so hard,sadness
i didnt feel any emotional pulls toward anyone except the lord,sadness
i feel more than honoured to be part of this series and join all these wonderful and talented ladies in a celebration of the womanhood,joy
i have days were i prefer to be the submissive it is a simple life i feel on the days i am submissive i do my best to please him he seems to be happy enough after two years of having me,sadness
i must have been feeling a little cranky about the,anger
i then wonder if the girl does want to marry me and contemplate that feeling slightly disheartened,sadness
i feel like a failure like i m so fucked up that i have to be medically managed,anger
i feel stressed frequently,anger
i feel truly successful that brooklyn has been able to latch on and has had no problem going from breast to bottle and back again without skipping a beat,joy
i feel glad that the stress that went into making sterile sky from spending nine months in senegal writing non stopped to facing some initial rejections at home farafina and cassava republic rejected the manuscript and to burdening friends with the manuscript is not in vain after all,joy
i dun feel blamed,sadness
i feel can be even more dangerous though because when youre pouring all time into ministry it can be accompanied with self righteousness or self satisfaction,anger
i wonder how it feels to have angered and disappointed millions of people in one morning,anger
i have become too comfortable while at the same time feeling discontent because i have not been pursuing the thing the lord has set on my heart to pursue,sadness
i didnt feel so stupid then but a still little bit ignorant compared with the native african healers who have been using this for over a century,sadness
i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought,anger
i feel horrible having to say not right now so often,sadness
i feel so remorseful for doing this to him,sadness
i mention that im feeling cranky,anger
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy
i feel like federer is more talented player for sure,joy
i was feeling discouraged and disgruntled and i was a href http tracifishbowl,sadness
i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake,anger
i do feel envious of those with kids at certain moments,anger
i wont be so sure to feel optimistic about this either,joy
i was tired sore and didnt really feel like makin the mile trip to church i was ecstatic to be there and enjoyed every minute of it,joy
i think its the feeling stupid part because i couldnt tell you were lying,sadness
i feel disappointed because i spent time on it and do something differently to create an interesting composition,sadness
i am still feeling extremely damaged from many different events some of them seeming to repeat themselves i havent given up nor do i ever plan on,sadness
i feel i might have been too gloomy about it,sadness
i guess this isnt a very exciting story but it really meant a lot to me and made me feel less crappy about my job and less fearful of the strangers of this world because some can actually turn out to be quite nice and quite funny,sadness
i feel peaceful centered and an endless supply of energy each day to accomplish what is most important,joy
i practically got the feeling of a hostile environment,anger
i wrong or ridiculous to feel pissed,anger
i finally feel like im getting treatment for my injury and that im not being punished for having been injured during an assault,sadness
i was feeling kind of rebellious and my post was a little on the,anger
i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare,anger
i feel like my house is constantly messy and i feel like i am always cleaning up after them,sadness
i feel like were in this together and im glad for that,joy
im feeling ok to say il tough it out at the time it was pretty unpleasant,joy
i feel lonely so unbearably crushingly lonely you are not the only one a href http creativeliar,sadness
i still feel stressed,anger
i was just wondering if that is common and why some girls feel the need to seem less intelligent than they really are,joy
i write what i feel if you get annoyed and sick of this simply close the tab,anger
i aint pissed angry mad or anything i just feel pretty much fuckin insulted,anger
i feel honored to wear usa on my back,joy
im not feeling outgoing and am in no mood to put the game face on and smooch,joy
i was a touch pissed off that janine appears to have totally forgotten my birthday i feel a sarcastic comment in her card next week to make up for it,anger
i want to say how i want to feel just come out so bitter and angry,anger
i am feeling thankful for warm sunshine crisp autumn air and bright fall colors,joy
i was beginning to feel fear nevertheless a stubborn person i am i swept the superstition away but i reminded myself to pay extra caution,anger
i hear such stories i feel cold,anger
i feel like special honored guests,joy
i was feeling when nick broke up with me over,sadness
i were feeling pretty isolated and marginalised and my greatest enemy was the united states which is the only country to have ever deployed a nuclear weapon or two against civilians then i might just want to get one myself,sadness
i kept feeling like i missed something and i needed to go back and re read,sadness
i feel very happy each time i saw him,joy
im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,joy
i hear that bird i know that all is well and i feel safe,joy
